field,pearson_loss,spearman_loss,pearson_log1p_loss,spearman_log1p_loss
cont1,-0.010236937708398862,-0.01764072831144623,-0.007335394087775988,-0.01764072831144623
cont2,0.1415279588790582,0.08006607540950302,0.10466624302016532,0.08006607540950302
cont3,0.1110533081772168,0.06835347027514971,0.08154779179810871,0.06835347027514971
cont4,-0.035830809830876845,-0.027877990557941764,-0.027522586560441053,-0.027877990557941764
cont5,-0.01135450244647243,-0.015114455480742396,-0.014957660604297351,-0.015114455480742396
cont6,0.04096682474989754,0.019696972031271676,0.03151659484759453,0.019696972031271676
cont7,0.11979887050310194,0.054927504095787553,0.08509461187717625,0.054927504095787553
cont8,0.030508379587442607,0.027495350077645885,0.03204230532003468,0.027495350077645885
cont9,0.014455587837242517,0.004401018221821646,0.017417153752310063,0.004401018221821646
cont10,0.020236142979713757,0.003041779835933421,0.010603506340775275,0.003041779835933421
cont11,0.09980638463804618,0.054323258274454535,0.07276020357698726,0.054323258274454535
cont12,0.09872384974321884,0.053623504201912364,0.07226599661669429,0.053623504201912364
cont13,-0.004022110368734246,0.007046306382375308,0.003276277070240695,0.007046306382375308
cont14,0.01929782972866846,0.0016665484785324414,0.025947829291935044,0.0016665484785324414
